Country,Region,Variable,Value
Afghanistan ,ASIA (EX. NEAR EAST)         ,Population,31056997
Afghanistan ,ASIA (EX. NEAR EAST)         ,Coastline,0
Afghanistan ,ASIA (EX. NEAR EAST)         ,Area,647500
Afghanistan ,ASIA (EX. NEAR EAST)         ,PopDensity,48
Albania ,EASTERN EUROPE                     ,Coastline,1.26
Albania ,EASTERN EUROPE                     ,Population,3581632
Albania ,EASTERN EUROPE                     ,Population,3581655
Albania ,EASTERN EUROPE                     ,PopDensity,124.6
Albania ,EASTERN EUROPE                     ,Area,28748
Algeria ,NORTHERN AFRICA                    ,Area,2381740
Algeria ,NORTHERN AFRICA                    ,Coastline,0.04
Algeria ,NORTHERN AFRICA                    ,Population,32930091
Algeria ,NORTHERN AFRICA                    ,PopDensity,13.8
American Samoa ,OCEANIA                            ,PopDensity,290.4
American Samoa ,OCEANIA                            ,Population,57794
American Samoa ,OCEANIA                            ,Coastline,58.29
American Samoa ,OCEANIA                            ,Area,199
Andorra ,WESTERN EUROPE                     ,Area,468
Andorra ,WESTERN EUROPE                     ,Coastline,0
Andorra ,WESTERN EUROPE                     ,PopDensity,152.1
Andorra ,WESTERN EUROPE                     ,Population,71201
Angola ,SUB-SAHARAN AFRICA                 ,Area,1246700
Angola ,SUB-SAHARAN AFRICA                 ,PopDensity,9.7
Angola ,SUB-SAHARAN AFRICA                 ,Population,12127071
Angola ,SUB-SAHARAN AFRICA                 ,Coastline,0.13
Anguilla ,LATIN AMER. & CARIB    ,Coastline,59.8
Anguilla ,LATIN AMER. & CARIB    ,Area,102
Anguilla ,LATIN AMER. & CARIB    ,PopDensity,132.1
Anguilla ,LATIN AMER. & CARIB    ,Population,13477
Antigua & Barbuda ,LATIN AMER. & CARIB    ,Population,69108
Antigua & Barbuda ,LATIN AMER. & CARIB    ,Coastline,34.54
Antigua & Barbuda ,LATIN AMER. & CARIB    ,PopDensity,156
Antigua & Barbuda ,LATIN AMER. & CARIB    ,Area,443
Argentina ,LATIN AMER. & CARIB    ,Population,39921833
Argentina ,LATIN AMER. & CARIB    ,Coastline,0.18
Argentina ,LATIN AMER. & CARIB    ,Area,2766890
Argentina ,LATIN AMER. & CARIB    ,PopDensity,14.4
Armenia ,C.W. OF IND. STATES ,Area,29800
Armenia ,C.W. OF IND. STATES ,Population,2976372
Armenia ,C.W. OF IND. STATES ,PopDensity,99.9
Armenia ,C.W. OF IND. STATES ,Coastline,0
Aruba ,LATIN AMER. & CARIB    ,Coastline,35.49
Aruba ,LATIN AMER. & CARIB    ,Population,71891
Aruba ,LATIN AMER. & CARIB    ,Area,193
Aruba ,LATIN AMER. & CARIB    ,PopDensity,372.5
Australia ,OCEANIA                            ,Coastline,0.34
Australia ,OCEANIA                            ,PopDensity,2.6
Australia ,OCEANIA                            ,Population,20264082
Australia ,OCEANIA                            ,Area,7686850
Austria ,WESTERN EUROPE                     ,Coastline,0
Austria ,WESTERN EUROPE                     ,Area,83870
Austria ,WESTERN EUROPE                     ,Population,8192880
Austria ,WESTERN EUROPE                     ,PopDensity,97.7
Azerbaijan ,C.W. OF IND. STATES ,PopDensity,91.9
Azerbaijan ,C.W. OF IND. STATES ,Population,7961619
Azerbaijan ,C.W. OF IND. STATES ,Coastline,0
Azerbaijan ,C.W. OF IND. STATES ,Area,86600
"Bahamas, The ",LATIN AMER. & CARIB    ,PopDensity,21.8
"Bahamas, The ",LATIN AMER. & CARIB    ,Population,303770
"Bahamas, The ",LATIN AMER. & CARIB    ,Area,13940
"Bahamas, The ",LATIN AMER. & CARIB    ,Coastline,25.41
Bahrain ,NEAR EAST                          ,Coastline,24.21
Bahrain ,NEAR EAST                          ,PopDensity,1050.5
Bahrain ,NEAR EAST                          ,Population,698585
Bahrain ,NEAR EAST                          ,Area,665
Bangladesh ,ASIA (EX. NEAR EAST)         ,Area,144000
Bangladesh ,ASIA (EX. NEAR EAST)         ,Population,147365352
Bangladesh ,ASIA (EX. NEAR EAST)         ,Coastline,0.4
Bangladesh ,ASIA (EX. NEAR EAST)         ,PopDensity,1023.4
Barbados ,LATIN AMER. & CARIB    ,Area,431
Barbados ,LATIN AMER. & CARIB    ,Population,279912
Barbados ,LATIN AMER. & CARIB    ,PopDensity,649.5
Barbados ,LATIN AMER. & CARIB    ,Coastline,22.51
Belarus ,C.W. OF IND. STATES ,Coastline,0
Belarus ,C.W. OF IND. STATES ,Population,10293011
Belarus ,C.W. OF IND. STATES ,Area,207600
Belarus ,C.W. OF IND. STATES ,PopDensity,49.6
Belgium ,WESTERN EUROPE                     ,Coastline,0.22
Belgium ,WESTERN EUROPE                     ,PopDensity,340
Belgium ,WESTERN EUROPE                     ,Area,30528
Belgium ,WESTERN EUROPE                     ,Population,10379067
Belize ,LATIN AMER. & CARIB    ,Coastline,1.68
Belize ,LATIN AMER. & CARIB    ,Area,22966
Belize ,LATIN AMER. & CARIB    ,PopDensity,12.5
Belize ,LATIN AMER. & CARIB    ,Population,287730
Benin ,SUB-SAHARAN AFRICA                 ,PopDensity,69.8
Benin ,SUB-SAHARAN AFRICA                 ,Coastline,0.11
Benin ,SUB-SAHARAN AFRICA                 ,Area,112620
Benin ,SUB-SAHARAN AFRICA                 ,Population,7862944
Bermuda ,NORTHERN AMERICA                   ,Coastline,194.34
Bermuda ,NORTHERN AMERICA                   ,PopDensity,1241
Bermuda ,NORTHERN AMERICA                   ,Area,53
Bermuda ,NORTHERN AMERICA                   ,Population,65773
